articulacion,q_deseado_deg,q_medido_deg,error_deg
waist,-60.0,-59.82404692082111,-0.17595307917888903
waist,-15.0,-15.249266862170089,0.24926686217008864
waist,0.0,0.29325513196480935,-0.29325513196480935
waist,25.0,24.34017595307918,0.6598240469208214
waist,70.0,70.08797653958943,-0.08797653958943386
shoulder,-40.0,-41.348973607038126,1.3489736070381255
shoulder,-25.0,-26.392961876832846,1.392961876832846
shoulder,0.0,-0.29325513196480935,0.29325513196480935
shoulder,15.0,15.542521994134896,-0.542521994134896
shoulder,60.0,62.170087976539584,-2.170087976539584
elbow,-75.0,-72.43401759530792,-2.565982404692079
elbow,-30.5,-31.378299120234605,0.8782991202346047
elbow,0.0,-0.29325513196480935,0.29325513196480935
elbow,22.5,23.46041055718475,-0.9604105571847512
elbow,55.0,56.30498533724341,-1.3049853372434086
wrist,-35.0,-34.604105571847505,-0.395894428152495
wrist,-15.0,-14.956011730205278,-0.04398826979472226
wrist,0.0,-0.0,0.0
wrist,20.0,20.234604105571847,-0.2346041055718473
wrist,75.0,75.36656891495602,-0.3665689149560194
gripper,3.0,2.6392961876832843,0.36070381231671567
gripper,10.5,9.970674486803519,0.5293255131964809
gripper,15.0,14.36950146627566,0.6304985337243405
gripper,24.5,24.04692082111437,0.45307917888563054
gripper,55.0,54.54545454545455,0.45454545454545325
