Tiempo_s,Energia,Frecuencia,Es_Beat
99.0,0.934,0.099,0
99.1,0.411,0.525,1
99.2,0.353,0.32,0
99.3,0.883,0.121,0
99.4,0.929,0.056,0
99.5,0.446,0.515,1
99.6,0.422,0.342,0
99.7,0.879,0.122,0
99.8,0.908,0.034,0
99.9,0.498,0.5,1
100.0,0.347,0.318,0
100.1,0.943,0.124,0
100.2,0.814,0.273,0
100.3,0.484,0.506,1
100.4,0.399,0.307,0
100.5,0.936,0.109,0
100.6,0.963,0.107,0
100.7,0.456,0.492,1
100.8,0.398,0.284,0
100.9,0.964,0.101,0
101.0,0.913,0.139,0
101.1,0.382,0.488,1
101.2,0.33,0.315,0
101.3,0.971,0.088,0
101.4,0.88,0.151,0
101.5,0.38,0.517,1
101.6,0.343,0.313,0
101.7,0.963,0.075,0
101.8,0.882,0.024,0
101.9,0.406,0.501,1
102.0,0.337,0.332,0
102.1,0.963,0.093,0
102.2,0.913,0.045,0
102.3,0.398,0.497,1
102.4,0.382,0.283,0
102.5,0.973,0.066,0
102.6,0.899,0.033,0
102.7,0.438,0.469,1
102.8,0.354,0.328,0
102.9,0.925,0.132,0
103.0,0.827,0.272,0
103.1,0.314,0.567,1
103.2,0.326,0.271,0
103.3,0.945,0.056,0
103.4,0.854,0.074,0
103.5,0.362,0.532,1
103.6,0.304,0.399,0
103.7,0.915,0.12,0
103.8,0.788,0.206,0
103.9,0.457,0.473,1
104.0,0.335,0.319,0
104.1,0.94,0.103,0
104.2,0.864,0.226,0
104.3,0.367,0.545,1
104.4,0.324,0.335,0
104.5,0.951,0.08,0
104.6,0.847,0.109,0
104.7,0.443,0.44,1
104.8,0.37,0.254,0
104.9,0.965,0.039,0
105.0,0.833,0.027,0
105.1,0.433,0.446,1
105.2,0.384,0.214,0
105.3,0.929,0.063,0
105.4,0.769,0.06,0
105.5,0.424,0.467,1
105.6,0.333,0.415,0
105.7,0.923,0.136,0
105.8,0.689,0.343,0
105.9,0.435,0.41,1
106.0,0.376,0.179,0
106.1,0.921,0.095,0
106.2,0.755,0.215,0
106.3,0.446,0.391,1
106.4,0.382,0.259,0
106.5,0.902,0.223,0
106.6,0.717,0.37,0
106.7,0.401,0.417,1
106.8,0.335,0.274,0
106.9,0.945,0.13,0
107.0,0.733,0.088,0
107.1,0.447,0.438,1
107.2,0.336,0.416,0
107.3,0.915,0.145,0
107.4,0.722,0.149,0
107.5,0.414,0.212,1
107.6,0.317,0.056,0
107.7,0.86,0.253,0
107.8,0.594,0.345,1
107.9,0.35,0.444,0
108.0,0.345,0.318,0
108.1,0.869,0.229,0
108.2,0.695,0.146,1
108.3,0.396,0.342,0
108.4,0.35,0.308,0
108.5,0.947,0.086,0
108.6,0.617,0.205,1
108.7,0.416,0.337,0
108.8,0.345,0.282,0
108.9,0.903,0.191,0
109.0,0.584,0.116,1
109.1,0.359,0.384,0
109.2,0.445,0.329,0
109.3,0.916,0.203,0
109.4,0.606,0.386,1
109.5,0.375,0.342,0
109.6,0.419,0.212,0
109.7,0.885,0.18,0
109.8,0.52,0.216,1
109.9,0.394,0.318,0
110.0,0.485,0.215,0
110.1,0.95,0.121,0
110.2,0.581,0.252,1
110.3,0.393,0.342,0
110.4,0.518,0.244,0
110.5,0.881,0.158,0
110.6,0.519,0.336,1
110.7,0.384,0.364,0
110.8,0.594,0.217,0
110.9,0.95,0.118,0
111.0,0.56,0.292,1
111.1,0.426,0.345,0
111.2,0.578,0.303,0
111.3,0.901,0.124,0
111.4,0.523,0.334,1
111.5,0.441,0.543,0
111.6,0.672,0.371,0
111.7,0.923,0.106,0
111.8,0.445,0.397,1
111.9,0.397,0.313,0
112.0,0.639,0.272,0
112.1,0.892,0.119,0
112.2,0.499,0.438,1
112.3,0.402,0.337,0
112.4,0.75,0.191,0
112.5,0.968,0.038,0
112.6,0.427,0.423,1
112.7,0.42,0.285,0
112.8,0.676,0.249,0
112.9,0.847,0.272,0
113.0,0.414,0.491,1
113.1,0.342,0.354,0
113.2,0.785,0.177,0
113.3,0.898,0.137,0
113.4,0.421,0.495,1
113.5,0.404,0.256,0
113.6,0.755,0.235,0
113.7,0.839,0.156,0
113.8,0.532,0.464,1
113.9,0.42,0.267,0
114.0,0.892,0.123,0
114.1,0.91,0.133,0
114.2,0.4,0.573,1
114.3,0.385,0.312,0
114.4,0.778,0.228,0
114.5,0.935,0.063,0
114.6,0.484,0.521,1
114.7,0.341,0.348,0
114.8,0.925,0.116,0
114.9,0.955,0.047,0
115.0,0.385,0.526,1
115.1,0.357,0.322,0
115.2,0.773,0.238,0
115.3,0.901,0.058,0
115.4,0.428,0.501,1
115.5,0.331,0.343,0
115.6,0.927,0.135,0
115.7,0.83,0.306,0
115.8,0.449,0.523,1
115.9,0.343,0.292,0
116.0,0.863,0.247,0
116.1,0.913,0.06,0
116.2,0.39,0.559,1
116.3,0.363,0.387,0
116.4,0.89,0.129,0
116.5,0.873,0.168,0
116.6,0.434,0.496,1
116.7,0.341,0.345,0
116.8,0.795,0.254,0
116.9,0.884,0.209,0
117.0,0.399,0.525,1
117.1,0.312,0.355,0
117.2,0.936,0.097,0
117.3,0.881,0.109,0
117.4,0.485,0.48,1
117.5,0.358,0.285,0
117.6,0.846,0.268,0
117.7,0.837,0.043,0
117.8,0.473,0.469,1
117.9,0.348,0.263,0
118.0,0.973,0.089,0
118.1,0.87,0.063,0
118.2,0.441,0.505,1
118.3,0.353,0.426,0
118.4,0.773,0.289,0
118.5,0.801,0.312,0
118.6,0.394,0.474,1
118.7,0.337,0.3,0
118.8,0.936,0.099,0
118.9,0.851,0.245,0
119.0,0.416,0.498,1
119.1,0.378,0.323,0
119.2,0.799,0.313,0
119.3,0.722,0.369,0
119.4,0.416,0.512,1
119.5,0.384,0.319,0
119.6,0.938,0.057,0
119.7,0.799,0.088,0
119.8,0.376,0.513,1
119.9,0.318,0.449,0
120.0,0.926,0.126,0
120.1,0.778,0.162,0
120.2,0.437,0.313,0
120.3,0.37,0.402,0
120.4,0.073,0.738,0
120.5,0.062,0.778,0
120.6,0.051,0.789,0
120.7,0.038,0.774,0
120.8,0.028,0.755,0
120.9,0.023,0.692,0
121.0,0.018,0.65,0
121.1,0.016,0.618,0
121.2,0.013,0.616,0
121.3,0.009,0.576,0
121.4,0.009,0.558,0
121.5,0.007,0.525,0
121.6,0.005,0.53,0
121.7,0.004,0.557,0
121.8,0.003,0.493,0
121.9,0.002,0.466,0
122.0,0.002,0.433,0
122.1,0.001,0.436,0
122.2,0.001,0.463,0
122.3,0.001,0.43,0
122.4,0.001,0.388,0
122.5,0.0,0.386,0
122.6,0.0,0.383,0
122.7,0.0,0.406,0
122.8,0.0,0.355,0
122.9,0.0,0.336,0
123.0,0.0,0.347,0
123.1,0.0,0.241,0
123.2,0.0,0.0,0
123.3,0.0,0.0,0
123.4,0.0,0.0,0
123.5,0.0,0.0,0
123.6,0.0,0.0,0
123.7,0.0,0.0,0
123.8,0.0,0.0,0
123.9,0.0,0.0,0
124.0,0.0,0.0,0
124.1,0.0,0.0,0
124.2,0.0,0.0,0
124.3,0.0,0.0,0
124.4,0.0,0.0,0
124.5,0.0,0.0,0
124.6,0.0,0.0,0
124.7,0.0,0.0,0
124.8,0.0,0.0,0
124.9,0.0,0.0,0
125.0,0.0,0.0,0
125.1,0.0,0.0,0
125.2,0.0,0.0,0
125.3,0.0,0.0,0
125.4,0.0,0.0,0
125.5,0.0,0.0,0
125.6,0.0,0.0,0
125.7,0.0,0.0,0
125.8,0.0,0.0,0
125.9,0.0,0.0,0
