Tiempo_s,Energia,Frecuencia,Es_Beat
22.6,0.293,0.467,1
22.7,0.175,0.831,0
22.8,0.14,0.705,0
22.9,0.146,0.351,0
23.0,0.34,0.42,1
23.1,0.129,0.778,0
23.2,0.375,0.265,0
23.3,0.179,0.356,0
23.4,0.331,0.438,1
23.5,0.217,0.437,0
23.6,0.161,0.411,0
23.7,0.199,0.259,0
23.8,0.33,0.382,1
23.9,0.125,0.232,0
24.0,0.236,0.394,0
24.1,0.2,0.34,0
24.2,0.305,0.424,1
24.3,0.171,0.218,0
24.4,0.194,0.366,0
24.5,0.204,0.245,0
24.6,0.284,0.381,1
24.7,0.162,0.371,0
24.8,0.208,0.488,0
24.9,0.103,0.801,0
25.0,0.344,0.339,1
25.1,0.235,0.244,0
25.2,0.186,0.288,0
25.3,0.162,0.189,0
25.4,0.297,0.44,1
25.5,0.118,0.238,0
25.6,0.253,0.374,0
25.7,0.147,0.202,0
25.8,0.369,0.361,1
25.9,0.195,0.479,0
26.0,0.216,0.375,0
26.1,0.173,0.59,0
26.2,0.307,0.407,1
26.3,0.162,0.174,0
26.4,0.218,0.32,0
26.5,0.133,0.161,0
26.6,0.371,0.339,1
26.7,0.135,0.143,0
26.8,0.239,0.334,0
26.9,0.2,0.229,0
27.0,0.305,0.387,1
27.1,0.137,0.197,0
27.2,0.235,0.381,0
27.3,0.176,0.265,0
27.4,0.29,0.465,1
27.5,0.089,0.247,0
27.6,0.239,0.462,0
27.7,0.199,0.39,0
27.8,0.265,0.459,1
27.9,0.064,0.351,0
28.0,0.246,0.33,0
28.1,0.137,0.291,0
28.2,0.342,0.306,1
28.3,0.124,0.213,0
28.4,0.125,0.404,0
28.5,0.123,0.227,0
28.6,0.243,0.385,1
28.7,0.124,0.505,0
28.8,0.195,0.283,0
28.9,0.115,0.341,1
29.0,0.264,0.406,0
29.1,0.077,0.383,0
29.2,0.201,0.332,0
29.3,0.154,0.419,0
29.4,0.275,0.326,1
29.5,0.13,0.51,0
29.6,0.208,0.372,0
29.7,0.17,0.429,1
29.8,0.227,0.347,0
