test_id,joint,amplitude_deg,frequency_hz,time_s,q_deseado_deg,q_medido_deg,error_deg
1,wrist,10.0,0.05,2.384185791015625e-07,7.490140565847851e-07,-0.0,7.490140565847851e-07
1,wrist,10.0,0.05,0.05007123947143555,0.1572969508686407,-0.0,0.1572969508686407
1,wrist,10.0,0.05,0.1001734733581543,0.3146523040260967,-0.0,0.3146523040260967
1,wrist,10.0,0.05,0.15028166770935059,0.4719484081242299,-0.0,0.4719484081242299
1,wrist,10.0,0.05,0.20049405097961426,0.629454231923261,-0.0,0.629454231923261
1,wrist,10.0,0.05,0.2507166862487793,0.7868355328916317,-0.0,0.7868355328916317
1,wrist,10.0,0.05,0.300853967666626,0.9437540113899984,-0.0,0.9437540113899984
1,wrist,10.0,0.05,0.3509337902069092,1.1002589360329482,-0.0,1.1002589360329482
1,wrist,10.0,0.05,0.4009990692138672,1.2564461930216222,-0.0,1.2564461930216222
1,wrist,10.0,0.05,0.45113492012023926,1.4125421162364202,-0.0,1.4125421162364202
1,wrist,10.0,0.05,0.5012357234954834,1.5681788766963485,0.29325513196480935,1.2749237447315391
1,wrist,10.0,0.05,0.5514135360717773,1.723665461836855,0.29325513196480935,1.4304103298720456
1,wrist,10.0,0.05,0.6015911102294922,1.8787229924569668,0.29325513196480935,1.5854678604921575
1,wrist,10.0,0.05,0.6517620086669922,2.0332931436706367,0.29325513196480935,1.7400380117058274
1,wrist,10.0,0.05,0.7018599510192871,2.1871345263146607,0.29325513196480935,1.8938793943498513
1,wrist,10.0,0.05,0.75193190574646,2.34035477497662,0.29325513196480935,2.0470996430118102
1,wrist,10.0,0.05,0.8021063804626465,2.4933078186072275,0.5865102639296187,1.9067975546776088
1,wrist,10.0,0.05,0.8521754741668701,2.6453221058477983,0.5865102639296187,2.0588118419181796
1,wrist,10.0,0.05,0.9023454189300537,2.7969860832186573,0.5865102639296187,2.2104758192890386
1,wrist,10.0,0.05,0.9525413513183594,2.948033261265914,0.8797653958944283,2.0682678653714857
1,wrist,10.0,0.05,1.0027170181274414,3.0982868111794764,0.8797653958944283,2.218521415285048
1,wrist,10.0,0.05,1.0528264045715332,3.247573585466095,0.8797653958944283,2.367808189571667
1,wrist,10.0,0.05,1.1029942035675049,3.3962281613798067,0.8797653958944283,2.5164627654853784
1,wrist,10.0,0.05,1.1530656814575195,3.5437561729177443,1.466275659824047,2.0774805130936973
1,wrist,10.0,0.05,1.2031641006469727,3.6904859780805883,1.466275659824047,2.2242103182565414
1,wrist,10.0,0.05,1.253272294998169,3.836329982755962,1.466275659824047,2.370054322931915
1,wrist,10.0,0.05,1.303379774093628,3.9812212682954145,2.3460410557184748,1.6351802125769397
1,wrist,10.0,0.05,1.3535528182983398,4.125313655472423,2.3460410557184748,1.7792725997539485
1,wrist,10.0,0.05,1.4037256240844727,4.268380448446464,2.3460410557184748,1.9223393927279888
1,wrist,10.0,0.05,1.4538938999176025,4.410374017909204,2.6392961876832843,1.7710778302259196
1,wrist,10.0,0.05,1.5039639472961426,4.550997274499537,2.6392961876832843,1.9117010868162523
1,wrist,10.0,0.05,1.5540316104888916,4.690487877167084,2.6392961876832843,2.0511916894837996
1,wrist,10.0,0.05,1.6041994094848633,4.8290935137334,2.932551319648094,1.8965421940853062
