point_id,x_target_m,y_target_m,z_target_m,theta_target_deg,reachable,selected_label,q1_waist_deg,q2_shoulder_deg,q3_elbow_deg,q4_wrist_deg,position_error_m,pitch_error_deg,reason
25,0.032,-0.08999999999999998,0.3,-35.0,True,codo_arriba,-70.4268741695898,50.077642642930485,-94.27429933644015,79.19665669350968,6.206335383118183e-17,1.4210854715202004e-14,Punto ejecutado.
26,0.03266730081284279,-0.10018104299316404,0.3,-35.0,True,codo_arriba,-71.93975066313607,53.850363805285724,-92.45634181463627,73.60597800935054,6.206335383118183e-17,-1.4210854715202004e-14,Punto ejecutado.
27,0.034657785549452674,-0.11018788551799662,0.3,-35.0,True,codo_arriba,-72.53988966147297,57.230865519243345,-90.03722203246286,67.80635651321951,6.245004513516506e-17,-7.105427357601002e-15,Punto ejecutado.
28,0.03793739646411963,-0.119849307724477,0.3,-35.0,True,codo_arriba,-72.43520861306098,60.092857399025014,-87.05989885742949,61.96704145840446,7.244417918960238e-17,-1.4210854715202004e-14,Punto ejecutado.
29,0.042450018504813766,-0.12899999999999998,0.3,-35.0,True,codo_arriba,-71.78518014725753,62.37987198035429,-83.5921881634604,56.212316183106125,3.469446951953614e-17,7.105427357601002e-15,Punto ejecutado.
30,0.048118439457283654,-0.1374833914626802,0.3,-35.0,True,codo_arriba,-70.71023132346214,64.08732017964414,-79.71382387762598,50.62650369798184,2.8609792490763984e-17,0.0,Punto ejecutado.
31,0.05484567106744927,-0.14515432893255067,0.3,-35.0,True,codo_arriba,-69.30123627713192,65.24526466978027,-75.50800162283787,45.26273695305759,6.245004513516506e-17,7.105427357601002e-15,Punto ejecutado.
32,0.06251660853731977,-0.15188156054271632,0.3,-35.0,True,codo_arriba,-67.62723807587282,65.90440322788292,-71.05688971678416,40.15248648890122,6.938893903907228e-17,-1.4210854715202004e-14,Punto ejecutado.
33,0.07099999999999997,-0.15754998149518618,0.3,-35.0,True,codo_arriba,-65.7412610434589,66.12609920969717,-66.44013943135579,35.31404022165861,3.1031676915590914e-17,0.0,Punto ejecutado.
34,0.08015069227552302,-0.16206260353588037,0.3,-35.0,True,codo_arriba,-63.68455503593148,65.97616788989305,-61.7354559600359,30.75928807014285,1.3877787807814457e-17,0.0,Punto ejecutado.
35,0.0898121144820034,-0.1653422144505473,0.3,-35.0,True,codo_arriba,-61.489665983862494,65.52163716085035,-57.02051820098491,26.49888104013455,6.206335383118183e-17,-7.105427357601002e-15,Punto ejecutado.
36,0.09981895700683598,-0.1673326991871572,0.3,-35.0,True,codo_arriba,-59.18266034166296,64.82963853369672,-52.37576625576544,22.54612772206872,3.925231146709438e-17,7.105427357601002e-15,Punto ejecutado.
37,0.10999999999999999,-0.16799999999999998,0.3,-35.0,True,codo_arriba,-56.7847485062628,63.96769551354161,-47.88770000426162,18.920004490720018,3.1031676915590914e-17,7.105427357601002e-15,Punto ejecutado.
38,0.120181042993164,-0.1673326991871572,0.3,-35.0,True,codo_arriba,-54.31348295343063,63.0047771057991,-43.652275476728406,15.647498370929313,2.7755575615628914e-17,7.105427357601002e-15,Punto ejecutado.
39,0.1301878855179966,-0.16534221445054734,0.3,-35.0,True,codo_arriba,-51.78365518226882,62.012461821532895,-39.777673645709086,12.765211824176195,6.798699777552591e-17,7.105427357601002e-15,Punto ejecutado.
40,0.13984930772447696,-0.16206260353588037,0.3,-35.0,True,codo_arriba,-49.20797892101927,61.06536012874124,-36.38509945180133,10.319739323060082,1.1443916996305594e-16,-1.4210854715202004e-14,Punto ejecutado.
41,0.14900000000000002,-0.1575499814951862,0.3,-35.0,True,codo_arriba,-46.597621650348,60.23963100458764,-33.605478124550466,8.36584711996283,5.551115123125783e-17,7.105427357601002e-15,Punto ejecutado.
42,0.15748339146268014,-0.1518815605427164,0.3,-35.0,True,codo_arriba,-43.962629105455555,59.608314636905064,-31.569582064016007,6.9612674271109345,6.206335383118183e-17,-7.105427357601002e-15,Punto ejecutado.
43,0.1651543289325507,-0.1451543289325507,0.3,-35.0,True,codo_arriba,-41.31227562496629,59.232935740817986,-30.39055536355145,6.157619622733458,6.206335383118183e-17,-7.105427357601002e-15,Punto ejecutado.
44,0.17188156054271633,-0.13748339146268024,0.3,-35.0,True,codo_arriba,-38.655365355283244,59.1529252647341,-30.142046615830754,5.9891213510966415,9.614813431917819e-17,-7.105427357601002e-15,Punto ejecutado.
45,0.1775499814951862,-0.12900000000000003,0.3,-35.0,True,codo_arriba,-36.00050428444326,59.376994287113575,-30.840429386181054,6.463435099067472,6.206335383118183e-17,-7.105427357601002e-15,Punto ejecutado.
46,0.18206260353588039,-0.11984930772447698,0.3,-35.0,True,codo_arriba,-33.35636016722936,59.88102528778025,-32.440460249848734,7.559434962068475,6.359601310784502e-17,-7.105427357601002e-15,Punto ejecutado.
47,0.18534221445054733,-0.11018788551799669,0.3,-35.0,True,codo_arriba,-30.73192621267098,60.61372900485509,-34.84693003337662,9.233201028521526,6.206335383118183e-17,-1.4210854715202004e-14,Punto ejecutado.
48,0.18733269918715723,-0.10018104299316402,0.3,-35.0,True,codo_arriba,-28.13680477381556,61.50683077354062,-37.9356819628082,11.428851189267583,6.206335383118183e-17,7.105427357601002e-15,Punto ejecutado.
49,0.188,-0.09000000000000001,0.3,-35.0,True,codo_arriba,-25.58152925793889,62.48497868889112,-41.5741458089287,14.089167120037585,3.1031676915590914e-17,7.105427357601002e-15,Punto ejecutado.
