t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
2.4420,0.0,0.0,0.0,0.0,0.0
2.4520,0.0,0.0,0.0,0.0,0.0
2.4623,0.0,0.0,0.0,0.0,0.0
2.4722,0.0,0.0,0.0,0.0,0.0
2.4824,0.0,0.0,0.0,0.0,0.0
2.4920,0.0,0.0,0.0,0.0,0.0
2.5022,0.0,0.0,0.0,0.0,0.0
2.5120,0.0,0.0,0.0,0.0,0.0
2.5220,0.0,0.0,0.0,0.0,0.0
2.5317,0.0,0.0,0.0,0.0,0.0
2.5418,0.0,0.0,0.0,0.0,0.0
2.5519,0.0,0.0,0.0,0.0,0.0
2.5623,0.0,0.0,0.0,0.0,0.0
2.5721,0.0,0.0,0.0,0.0,0.0
2.5824,0.0,0.0,0.0,0.0,0.0
2.5924,0.0,0.0,0.0,0.0,0.0
2.6025,0.0,0.0,0.0,0.0,0.0
2.6121,0.0,0.0,0.0,0.0,0.0
2.6221,0.0,0.0,0.0,0.0,0.0
2.6322,0.0,0.0,0.0,0.0,0.0
2.6423,0.0,0.0,0.0,0.0,0.0
2.6521,0.0,0.0,0.0,0.0,0.0
2.6624,0.0,0.0,0.0,0.0,0.0
2.6719,0.0,0.0,0.0,0.0,0.0
2.6824,0.0,0.0,0.0,0.0,0.0
2.6920,0.0,0.0,0.0,0.0,0.0
2.7022,0.0,0.0,0.0,0.0,0.0
2.7122,0.0,0.0,0.0,0.0,0.0
2.7221,0.0,0.0,0.0,0.0,0.0
2.7319,0.0,0.0,0.0,0.0,0.0
2.7421,0.0,0.0,0.0,0.0,0.0
2.7520,0.0,0.0,0.0,0.0,0.0
2.7621,0.0,0.0,0.0,0.0,0.0
2.7720,0.0,0.0,0.0,0.0,0.0
2.7821,0.0,0.0,0.0,0.0,0.0
2.7922,0.0,0.0,0.0,0.0,0.0
2.8024,0.0,0.0,0.0,0.0,0.0
2.8122,0.0,0.0,0.0,0.0,0.0
2.8222,0.0,0.0,0.0,0.0,0.0
2.8320,0.0,0.0,0.0,0.0,0.0
2.8424,0.0,0.0,0.0,0.0,0.0
2.8522,0.0,0.0,0.0,0.0,0.0
2.8623,0.0,0.0,0.0,0.0,0.0
2.8721,0.0,0.0,0.0,0.0,0.0
2.8824,0.0,0.0,0.0,0.0,0.0
2.8925,0.0,0.0,0.0,0.0,0.0
2.9024,0.0,0.0,0.0,0.0,0.0
2.9120,0.0,0.0,0.0,0.0,0.0
2.9223,0.0,0.0,0.0,0.0,0.0
2.9322,0.0,0.0,0.0,0.0,0.0
2.9425,0.0,0.0,0.0,0.0,0.0
2.9521,0.0,0.0,0.0,0.0,0.0
2.9622,0.0,0.0,0.0,0.0,0.0
2.9720,0.0,0.0,0.0,0.0,0.0
2.9822,0.0,0.0,0.0,0.0,0.0
2.9922,0.0,0.0,0.0,0.0,0.0
3.0024,0.0,0.0,0.0,0.0,0.0
3.0123,0.0,0.0,0.0,0.0,0.0
3.0224,0.0,0.0,0.0,0.0,0.0
3.0323,0.0,0.0,0.0,0.0,0.0
3.0423,0.0,0.0,0.0,0.0,0.0
3.0521,0.0,0.0,0.0,0.0,0.0
3.0624,0.0,0.0,0.0,0.0,0.0
3.0722,0.0,0.0,0.0,0.0,0.0
3.0824,0.0,0.0,0.0,0.0,0.0
3.0922,0.0,0.0,0.0,0.0,0.0
3.1024,0.0,0.0,0.0,0.0,0.0
3.1123,0.0,0.0,0.0,0.0,0.0
3.1226,0.0,0.0,0.0,0.0,0.0
3.1325,0.0,0.0,0.0,0.0,0.0
3.1426,0.0,0.0,0.0,0.0,0.0
3.1524,0.0,0.0,0.0,0.0,0.0
3.1623,0.0,0.0,0.0,0.0,0.0
3.1719,0.0,0.0,0.0,0.0,0.0
3.1822,0.0,0.0,0.0,0.0,0.0
3.1922,0.0,0.0,0.0,0.0,0.0
3.2025,0.0,0.0,0.0,0.0,0.0
3.2122,0.0,0.0,0.0,0.0,0.0
3.2223,0.0,0.0,0.0,0.0,0.0
3.2323,0.0,0.0,0.0,0.0,0.0
3.2423,0.0,0.0,0.0,0.0,0.0
3.2523,0.0,0.0,0.0,0.0,0.0
3.2625,0.0,0.0,0.0,0.0,0.0
3.2720,0.0,0.0,0.0,0.0,0.0
3.2823,0.0,0.0,0.0,0.0,0.0
3.2921,0.0,0.0,0.0,0.0,0.0
3.3024,0.0,0.0,0.0,0.0,0.0
3.3120,0.0,0.0,0.0,0.0,0.0
3.3222,0.0,0.0,0.0,0.0,0.0
3.3322,0.0,0.0,0.0,0.0,0.0
3.3424,0.0,0.0,0.0,0.0,0.0
3.3520,0.0,0.0,0.0,0.0,0.0
3.3624,0.0,0.0,0.0,0.0,0.0
3.3723,0.0,0.0,0.0,0.0,0.0
3.3823,0.0,0.0,0.0,0.0,0.0
3.3923,0.0,0.0,0.0,0.0,0.0
3.4024,0.0,0.0,0.0,0.0,0.0
3.4123,0.0,0.0,0.0,0.0,0.0
3.4224,0.0,0.0,0.0,0.0,0.0
3.4323,0.0,0.0,0.0,0.0,0.0
3.4423,0.0,0.0,0.0,0.0,0.0
3.4521,0.0,0.0,0.0,0.0,0.0
3.4624,0.0,0.0,0.0,0.0,0.0
3.4722,0.0,0.0,0.0,0.0,0.0
3.4826,0.0,0.0,0.0,0.0,0.0
3.4922,0.0,0.0,0.0,0.0,0.0
3.5024,0.0,0.0,0.0,0.0,0.0
3.5120,0.0,0.0,0.0,0.0,0.0
3.5225,0.0,0.0,0.0,0.0,0.0
3.5317,0.0,0.0,0.0,0.0,0.0
3.5417,0.0,0.0,0.0,0.0,0.0
3.5516,0.0,0.0,0.0,0.0,0.0
3.5622,0.0,0.0,0.0,0.0,0.0
3.5721,0.0,0.0,0.0,0.0,0.0
3.5823,0.0,0.0,0.0,0.0,0.0
3.5923,0.0,0.0,0.0,0.0,0.0
3.6024,0.0,0.0,0.0,0.0,0.0
3.6121,0.0,0.0,0.0,0.0,0.0
