t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
2.4369,0.0,0.0,0.0,0.0,0.0
2.4468,0.0,0.0,0.0,0.0,0.0
2.4574,0.0,0.0,0.0,0.0,0.0
2.4674,0.0,0.0,0.0,0.0,0.0
2.4775,0.0,0.0,0.0,0.0,0.0
2.4874,0.0,0.0,0.0,0.0,0.0
2.4974,0.0,0.0,0.0,0.0,0.0
2.5071,0.0,0.0,0.0,0.0,0.0
2.5173,0.0,0.0,0.0,0.0,0.0
2.5271,0.0,0.0,0.0,0.0,0.0
2.5374,0.0,0.0,0.0,0.0,0.0
2.5472,0.0,0.0,0.0,0.0,0.0
2.5575,0.0,0.0,0.0,0.0,0.0
2.5675,0.0,0.0,0.0,0.0,0.0
2.5774,0.0,0.0,0.0,0.0,0.0
2.5875,0.0,0.0,0.0,0.0,0.0
2.5974,0.0,0.0,0.0,0.0,0.0
2.6071,0.0,0.0,0.0,0.0,0.0
2.6175,0.0,0.0,0.0,0.0,0.0
2.6270,0.0,0.0,0.0,0.0,0.0
2.6375,0.0,0.0,0.0,0.0,0.0
2.6472,0.0,0.0,0.0,0.0,0.0
2.6574,0.0,0.0,0.0,0.0,0.0
2.6673,0.0,0.0,0.0,0.0,0.0
2.6772,0.0,0.0,0.0,0.0,0.0
2.6870,0.0,0.0,0.0,0.0,0.0
2.6973,0.0,0.0,0.0,0.0,0.0
2.7073,0.0,0.0,0.0,0.0,0.0
2.7173,0.0,0.0,0.0,0.0,0.0
2.7271,0.0,0.0,0.0,0.0,0.0
2.7371,0.0,0.0,0.0,0.0,0.0
2.7472,0.0,0.0,0.0,0.0,0.0
2.7571,0.0,0.0,0.0,0.0,0.0
2.7668,0.0,0.0,0.0,0.0,0.0
2.7768,0.0,0.0,0.0,0.0,0.0
2.7868,0.0,0.0,0.0,0.0,0.0
2.7970,0.0,0.0,0.0,0.0,0.0
2.8071,0.0,0.0,0.0,0.0,0.0
2.8173,0.0,0.0,0.0,0.0,0.0
2.8271,0.0,0.0,0.0,0.0,0.0
2.8372,0.0,0.0,0.0,0.0,0.0
2.8471,0.0,0.0,0.0,0.0,0.0
2.8573,0.0,0.0,0.0,0.0,0.0
2.8672,0.0,0.0,0.0,0.0,0.0
2.8771,0.0,0.0,0.0,0.0,0.0
2.8873,0.0,0.0,0.0,0.0,0.0
2.8973,0.0,0.0,0.0,0.0,0.0
2.9073,0.0,0.0,0.0,0.0,0.0
2.9171,0.0,0.0,0.0,0.0,0.0
2.9274,0.0,0.0,0.0,0.0,0.0
2.9373,0.0,0.0,0.0,0.0,0.0
2.9471,0.0,0.0,0.0,0.0,0.0
2.9573,0.0,0.0,0.0,0.0,0.0
2.9671,0.0,0.0,0.0,0.0,0.0
2.9774,0.0,0.0,0.0,0.0,0.0
2.9872,0.0,0.0,0.0,0.0,0.0
2.9974,0.0,0.0,0.0,0.0,0.0
3.0073,0.0,0.0,0.0,0.0,0.0
3.0174,0.0,0.0,0.0,0.0,0.0
3.0274,0.0,0.0,0.0,0.0,0.0
3.0372,0.0,0.0,0.0,0.0,0.0
3.0470,0.0,0.0,0.0,0.0,0.0
3.0569,0.0,0.0,0.0,0.0,0.0
3.0674,0.0,0.0,0.0,0.0,0.0
3.0772,0.0,0.0,0.0,0.0,0.0
3.0872,0.0,0.0,0.0,0.0,0.0
3.0973,0.0,0.0,0.0,0.0,0.0
3.1072,0.0,0.0,0.0,0.0,0.0
3.1173,0.0,0.0,0.0,0.0,0.0
3.1274,0.0,0.0,0.0,0.0,0.0
3.1373,0.0,0.0,0.0,0.0,0.0
3.1473,0.0,0.0,0.0,0.0,0.0
3.1575,0.0,0.0,0.0,0.0,0.0
3.1672,0.0,0.0,0.0,0.0,0.0
3.1774,0.0,0.0,0.0,0.0,0.0
3.1874,0.0,0.0,0.0,0.0,0.0
3.1974,0.0,0.0,0.0,0.0,0.0
3.2074,0.0,0.0,0.0,0.0,0.0
3.2174,0.0,0.0,0.0,0.0,0.0
3.2274,0.0,0.0,0.0,0.0,0.0
3.2376,0.0,0.0,0.0,0.0,0.0
3.2474,0.0,0.0,0.0,0.0,0.0
3.2576,0.0,0.0,0.0,0.0,0.0
3.2672,0.0,0.0,0.0,0.0,0.0
3.2773,0.0,0.0,0.0,0.0,0.0
3.2870,0.0,0.0,0.0,0.0,0.0
3.2974,0.0,0.0,0.0,0.0,0.0
3.3071,0.0,0.0,0.0,0.0,0.0
3.3173,0.0,0.0,0.0,0.0,0.0
3.3270,0.0,0.0,0.0,0.0,0.0
3.3372,0.0,0.0,0.0,0.0,0.0
3.3470,0.0,0.0,0.0,0.0,0.0
3.3575,0.0,0.0,0.0,0.0,0.0
3.3672,0.0,0.0,0.0,0.0,0.0
3.3773,0.0,0.0,0.0,0.0,0.0
3.3872,0.0,0.0,0.0,0.0,0.0
3.3973,0.0,0.0,0.0,0.0,0.0
3.4071,0.0,0.0,0.0,0.0,0.0
3.4174,0.0,0.0,0.0,0.0,0.0
3.4271,0.0,0.0,0.0,0.0,0.0
3.4374,0.0,0.0,0.0,0.0,0.0
3.4471,0.0,0.0,0.0,0.0,0.0
3.4573,0.0,0.0,0.0,0.0,0.0
3.4672,0.0,0.0,0.0,0.0,0.0
3.4774,0.0,0.0,0.0,0.0,0.0
3.4874,0.0,0.0,0.0,0.0,0.0
3.4974,0.0,0.0,0.0,0.0,0.0
3.5071,0.0,0.0,0.0,0.0,0.0
3.5172,0.0,0.0,0.0,0.0,0.0
3.5270,0.0,0.0,0.0,0.0,0.0
3.5372,0.0,0.0,0.0,0.0,0.0
3.5470,0.0,0.0,0.0,0.0,0.0
3.5574,0.0,0.0,0.0,0.0,0.0
3.5674,0.0,0.0,0.0,0.0,0.0
3.5775,0.0,0.0,0.0,0.0,0.0
3.5873,0.0,0.0,0.0,0.0,0.0
3.5974,0.0,0.0,0.0,0.0,0.0
3.6072,0.0,0.0,0.0,0.0,0.0
3.6173,0.0,0.0,0.0,0.0,0.0
3.6272,0.0,0.0,0.0,0.0,0.0
3.6374,0.0,0.0,0.0,0.0,0.0
3.6475,0.0,0.0,0.0,0.0,0.0
3.6573,0.0,0.0,0.0,0.0,0.0
3.6674,0.0,0.0,0.0,0.0,0.0
3.6773,0.0,0.0,0.0,0.0,0.0
3.6873,0.0,0.0,0.0,0.0,0.0
3.6972,0.0,0.0,0.0,0.0,0.0
3.7073,0.0,0.0,0.0,0.0,0.0
3.7173,0.0,0.0,0.0,0.0,0.0
3.7275,0.0,0.0,0.0,0.0,0.0
3.7373,0.0,0.0,0.0,0.0,0.0
3.7473,0.0,0.0,0.0,0.0,0.0
3.7570,0.0,0.0,0.0,0.0,0.0
3.7668,0.0,0.0,0.0,0.0,0.0
3.7773,0.0,0.0,0.0,0.0,0.0
3.7871,0.0,0.0,0.0,0.0,0.0
3.7973,0.0,0.0,0.0,0.0,0.0
3.8071,0.0,0.0,0.0,0.0,0.0
3.8175,0.0,0.0,0.0,0.0,0.0
3.8272,0.0,0.0,0.0,0.0,0.0
3.8373,0.0,0.0,0.0,0.0,0.0
3.8472,0.0,0.0,0.0,0.0,0.0
3.8572,0.0,0.0,0.0,0.0,0.0
3.8674,0.0,0.0,0.0,0.0,0.0
3.8773,0.0,0.0,0.0,0.0,0.0
3.8873,0.0,0.0,0.0,0.0,0.0
3.8974,0.0,0.0,0.0,0.0,0.0
