t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
2.4186,0.0,0.0,0.0,0.0,0.0
2.4288,0.0,0.0,0.0,0.0,0.0
2.4390,0.0,0.0,0.0,0.0,0.0
2.4489,0.0,0.0,0.0,0.0,0.0
2.4591,0.0,0.0,0.0,0.0,0.0
2.4691,0.0,0.0,0.0,0.0,0.0
2.4792,0.0,0.0,0.0,0.0,0.0
2.4890,0.0,0.0,0.0,0.0,0.0
2.4990,0.0,0.0,0.0,0.0,0.0
2.5091,0.0,0.0,0.0,0.0,0.0
2.5193,0.0,0.0,0.0,0.0,0.0
2.5292,0.0,0.0,0.0,0.0,0.0
2.5394,0.0,0.0,0.0,0.0,0.0
2.5492,0.0,0.0,0.0,0.0,0.0
2.5591,0.0,0.0,0.0,0.0,0.0
2.5691,0.0,0.0,0.0,0.0,0.0
2.5791,0.0,0.0,0.0,0.0,0.0
2.5893,0.0,0.0,0.0,0.0,0.0
2.5990,0.0,0.0,0.0,0.0,0.0
2.6090,0.0,0.0,0.0,0.0,0.0
2.6192,0.0,0.0,0.0,0.0,0.0
2.6291,0.0,0.0,0.0,0.0,0.0
2.6393,0.0,0.0,0.0,0.0,0.0
2.6491,0.0,0.0,0.0,0.0,0.0
2.6593,0.0,0.0,0.0,0.0,0.0
2.6693,0.0,0.0,0.0,0.0,0.0
2.6791,0.0,0.0,0.0,0.0,0.0
2.6891,0.0,0.0,0.0,0.0,0.0
2.6991,0.0,0.0,0.0,0.0,0.0
2.7090,0.0,0.0,0.0,0.0,0.0
2.7189,0.0,0.0,0.0,0.0,0.0
2.7290,0.0,0.0,0.0,0.0,0.0
2.7390,0.0,0.0,0.0,0.0,0.0
2.7491,0.0,0.0,0.0,0.0,0.0
2.7592,0.0,0.0,0.0,0.0,0.0
2.7690,0.0,0.0,0.0,0.0,0.0
2.7793,0.0,0.0,0.0,0.0,0.0
2.7891,0.0,0.0,0.0,0.0,0.0
2.7994,0.0,0.0,0.0,0.0,0.0
2.8091,0.0,0.0,0.0,0.0,0.0
2.8193,0.0,0.0,0.0,0.0,0.0
2.8291,0.0,0.0,0.0,0.0,0.0
2.8393,0.0,0.0,0.0,0.0,0.0
2.8493,0.0,0.0,0.0,0.0,0.0
2.8593,0.0,0.0,0.0,0.0,0.0
2.8693,0.0,0.0,0.0,0.0,0.0
2.8793,0.0,0.0,0.0,0.0,0.0
2.8891,0.0,0.0,0.0,0.0,0.0
2.8992,0.0,0.0,0.0,0.0,0.0
2.9091,0.0,0.0,0.0,0.0,0.0
2.9189,0.0,0.0,0.0,0.0,0.0
2.9293,0.0,0.0,0.0,0.0,0.0
2.9393,0.0,0.0,0.0,0.0,0.0
2.9492,0.0,0.0,0.0,0.0,0.0
2.9591,0.0,0.0,0.0,0.0,0.0
2.9693,0.0,0.0,0.0,0.0,0.0
2.9793,0.0,0.0,0.0,0.0,0.0
2.9891,0.0,0.0,0.0,0.0,0.0
2.9993,0.0,0.0,0.0,0.0,0.0
3.0092,0.0,0.0,0.0,0.0,0.0
3.0192,0.0,0.0,0.0,0.0,0.0
3.0292,0.0,0.0,0.0,0.0,0.0
3.0393,0.0,0.0,0.0,0.0,0.0
3.0492,0.0,0.0,0.0,0.0,0.0
3.0592,0.0,0.0,0.0,0.0,0.0
3.0692,0.0,0.0,0.0,0.0,0.0
3.0791,0.0,0.0,0.0,0.0,0.0
3.0892,0.0,0.0,0.0,0.0,0.0
3.0994,0.0,0.0,0.0,0.0,0.0
3.1093,0.0,0.0,0.0,0.0,0.0
3.1194,0.0,0.0,0.0,0.0,0.0
3.1291,0.0,0.0,0.0,0.0,0.0
3.1392,0.0,0.0,0.0,0.0,0.0
3.1494,0.0,0.0,0.0,0.0,0.0
3.1590,0.0,0.0,0.0,0.0,0.0
3.1694,0.0,0.0,0.0,0.0,0.0
3.1790,0.0,0.0,0.0,0.0,0.0
3.1894,0.0,0.0,0.0,0.0,0.0
3.1994,0.0,0.0,0.0,0.0,0.0
3.2093,0.0,0.0,0.0,0.0,0.0
3.2193,0.0,0.0,0.0,0.0,0.0
3.2292,0.0,0.0,0.0,0.0,0.0
3.2394,0.0,0.0,0.0,0.0,0.0
3.2494,0.0,0.0,0.0,0.0,0.0
3.2593,0.0,0.0,0.0,0.0,0.0
3.2694,0.0,0.0,0.0,0.0,0.0
3.2797,0.0,0.0,0.0,0.0,0.0
3.2892,0.0,0.0,0.0,0.0,0.0
3.2992,0.0,0.0,0.0,0.0,0.0
3.3090,0.0,0.0,0.0,0.0,0.0
3.3189,0.0,0.0,0.0,0.0,0.0
3.3293,0.0,0.0,0.0,0.0,0.0
3.3391,0.0,0.0,0.0,0.0,0.0
3.3491,0.0,0.0,0.0,0.0,0.0
3.3594,0.0,0.0,0.0,0.0,0.0
3.3691,0.0,0.0,0.0,0.0,0.0
3.3791,0.0,0.0,0.0,0.0,0.0
3.3891,0.0,0.0,0.0,0.0,0.0
3.3990,0.0,0.0,0.0,0.0,0.0
3.4086,0.0,0.0,0.0,0.0,0.0
3.4187,0.0,0.0,0.0,0.0,0.0
3.4287,0.0,0.0,0.0,0.0,0.0
3.4391,0.0,0.0,0.0,0.0,0.0
3.4490,0.0,0.0,0.0,0.0,0.0
3.4588,0.0,0.0,0.0,0.0,0.0
3.4689,0.0,0.0,0.0,0.0,0.0
3.4789,0.0,0.0,0.0,0.0,0.0
3.4891,0.0,0.0,0.0,0.0,0.0
3.4992,0.0,0.0,0.0,0.0,0.0
3.5092,0.0,0.0,0.0,0.0,0.0
3.5191,0.0,0.0,0.0,0.0,0.0
3.5293,0.0,0.0,0.0,0.0,0.0
3.5393,0.0,0.0,0.0,0.0,0.0
3.5494,0.0,0.0,0.0,0.0,0.0
3.5593,0.0,0.0,0.0,0.0,0.0
3.5693,0.0,0.0,0.0,0.0,0.0
3.5793,0.0,0.0,0.0,0.0,0.0
3.5891,0.0,0.0,0.0,0.0,0.0
3.5990,0.0,0.0,0.0,0.0,0.0
3.6089,0.0,0.0,0.0,0.0,0.0
3.6192,0.0,0.0,0.0,0.0,0.0
3.6293,0.0,0.0,0.0,0.0,0.0
3.6394,0.0,0.0,0.0,0.0,0.0
3.6491,0.0,0.0,0.0,0.0,0.0
3.6593,0.0,0.0,0.0,0.0,0.0
3.6691,0.0,0.0,0.0,0.0,0.0
3.6793,0.0,0.0,0.0,0.0,0.0
3.6891,0.0,0.0,0.0,0.0,0.0
3.6993,0.0,0.0,0.0,0.0,0.0
3.7091,0.0,0.0,0.0,0.0,0.0
3.7193,0.0,0.0,0.0,0.0,0.0
3.7290,0.0,0.0,0.0,0.0,0.0
3.7391,0.0,0.0,0.0,0.0,0.0
3.7494,0.0,0.0,0.0,0.0,0.0
3.7594,0.0,0.0,0.0,0.0,0.0
3.7693,0.0,0.0,0.0,0.0,0.0
3.7794,0.0,0.0,0.0,0.0,0.0
3.7893,0.0,0.0,0.0,0.0,0.0
3.7995,0.0,0.0,0.0,0.0,0.0
3.8094,0.0,0.0,0.0,0.0,0.0
3.8195,0.0,0.0,0.0,0.0,0.0
3.8293,0.0,0.0,0.0,0.0,0.0
3.8393,0.0,0.0,0.0,0.0,0.0
3.8491,0.0,0.0,0.0,0.0,0.0
3.8589,0.0,0.0,0.0,0.0,0.0
3.8691,0.0,0.0,0.0,0.0,0.0
3.8791,0.0,0.0,0.0,0.0,0.0
3.8891,0.0,0.0,0.0,0.0,0.0
3.8991,0.0,0.0,0.0219288466585615,0.0,0.0
3.9094,0.0,0.0,0.04383605219297274,0.0,0.0
3.9194,0.0,0.0,0.06569999683626022,0.0,0.0
3.9294,0.0,0.0,0.0874991035147271,0.0,0.0
3.9394,0.0,0.0,0.10921185914191969,0.0,0.0
3.9494,0.0,0.0,0.13081683584944676,0.0,0.0
3.9594,0.0,0.0,0.15229271213369844,0.0,0.0
3.9694,0.0,0.0,0.1736182938975961,0.0,0.0
3.9794,0.0,0.0,0.19477253536660746,0.0,0.0
3.9893,0.0,0.0,0.21573455985838513,0.0,0.0
3.9994,0.0,0.0,0.2364836803855317,0.0,0.0
4.0094,0.0,0.0,0.2569994200711584,0.0,0.0
