t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
2.0155,0.0,0.0,0.0,0.0,0.0
2.0255,0.0,0.0,0.0,0.0,0.0
2.0357,0.0,0.0,0.0,0.0,0.0
2.0457,0.0,0.0,0.0,0.0,0.0
2.0556,0.0,0.0,0.0,0.0,0.0
2.0657,0.0,0.0,0.0,0.0,0.0
2.0757,0.0,0.0,0.0,0.0,0.0
2.0860,0.0,0.0,0.0,0.0,0.0
2.0958,0.0,0.0,0.0,0.0,0.0
2.1057,0.0,0.0,0.0,0.0,0.0
2.1157,0.0,0.0,0.0,0.0,0.0
2.1258,0.0,0.0,0.0,0.0,0.0
2.1358,0.0,0.0,0.0,0.0,0.0
2.1457,0.0,0.0,0.0,0.0,0.0
2.1558,0.0,0.0,0.0,0.0,0.0
2.1659,0.0,0.0,0.0,0.0,0.0
2.1758,0.0,0.0,0.0,0.0,0.0
2.1857,0.0,0.0,0.0,0.0,0.0
2.1958,0.0,0.0,0.0,0.0,0.0
2.2057,0.0,0.0,0.0,0.0,0.0
2.2156,0.0,0.0,0.0,0.0,0.0
2.2257,0.0,0.0,0.0,0.0,0.0
2.2357,0.0,0.0,0.0,0.0,0.0
2.2455,0.0,0.0,0.0,0.0,0.0
2.2558,0.0,0.0,0.0,0.0,0.0
2.2656,0.0,0.0,0.0,0.0,0.0
2.2757,0.0,0.0,0.0,0.0,0.0
2.2858,0.0,0.0,0.0,0.0,0.0
2.2956,0.0,0.0,0.0,0.0,0.0
2.3056,0.0,0.0,0.0,0.0,0.0
2.3155,0.0,0.0,0.0,0.0,0.0
2.3258,0.0,0.0,0.0,0.0,0.0
2.3356,0.0,0.0,0.0,0.0,0.0
2.3455,0.0,0.0,0.0,0.0,0.0
2.3558,0.0,0.0,0.0,0.0,0.0
2.3656,0.0,0.0,0.0,0.0,0.0
2.3758,0.0,0.0,0.0,0.0,0.0
2.3857,0.0,0.0,0.0,0.0,0.0
2.3956,0.0,0.0,0.0,0.0,0.0
2.4056,0.0,0.0,0.0,0.0,0.0
2.4158,0.0,0.0,0.0,0.0,0.0
2.4255,0.0,0.0,0.0,0.0,0.0
2.4356,0.0,0.0,0.0,0.0,0.0
2.4459,0.0,0.0,0.0,0.0,0.0
2.4559,0.0,0.0,0.0,0.0,0.0
2.4655,0.0,0.0,0.0,0.0,0.0
2.4755,0.0,0.0,0.0,0.0,0.0
2.4859,0.0,0.0,0.0,0.0,0.0
2.4957,0.0,0.0,0.0,0.0,0.0
2.5057,0.0,0.0,0.0,0.0,0.0
2.5157,0.0,0.0,0.0,0.0,0.0
2.5258,0.0,0.0,0.0,0.0,0.0
2.5355,0.0,0.0,0.0,0.0,0.0
2.5457,0.0,0.0,0.0,0.0,0.0
2.5555,0.0,0.0,0.0,0.0,0.0
2.5655,0.0,0.0,0.0,0.0,0.0
2.5758,0.0,0.0,0.0,0.0,0.0
2.5857,0.0,0.0,0.0,0.0,0.0
2.5956,0.0,0.0,0.0,0.0,0.0
2.6058,0.0,0.0,0.0,0.0,0.0
2.6158,0.0,0.0,0.0,0.0,0.0
2.6256,0.0,0.0,0.0,0.0,0.0
2.6355,0.0,0.0,0.0,0.0,0.0
2.6458,0.0,0.0,0.0,0.0,0.0
2.6555,0.0,0.0,0.0,0.0,0.0
2.6656,0.0,0.0,0.0,0.0,0.0
