test_id,joint,amplitude_deg,frequency_hz,error_max_abs_deg,error_promedio_deg,mse_deg2,rmse_deg
1,wrist,10.0,0.05,3.2418220521345984,-0.2940343739481869,3.1423951320011576,1.7726802114315932
2,wrist,10.0,0.1,5.297448664015458,-0.3248191297557855,10.139612883710289,3.184275880590482
3,wrist,20.0,0.05,5.519536162962002,-0.3388399531633862,10.585652705466847,3.2535600048972277
4,wrist,20.0,0.1,9.94668136763972,-0.42554795064032275,38.3375975346179,6.191736229412385
