articulacion,error_max_abs_deg,error_promedio_deg,desplazamiento_cero_sugerido_deg
waist,0.6598240469208214,0.07038123167155556,0.07038123167155556
shoulder,2.170087976539584,0.06451612903226019,0.06451612903226019
elbow,2.565982404692079,-0.731964809384165,-0.731964809384165
wrist,0.395894428152495,-0.20821114369501678,-0.20821114369501678
gripper,0.6304985337243405,0.4856304985337242,0.4856304985337242
