point_id,x_target_m,y_target_m,z_target_m,theta_target_deg,reachable,selected_label,q1_waist_deg,q2_shoulder_deg,q3_elbow_deg,q4_wrist_deg,position_error_m,pitch_error_deg,reason
15,0.032,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-76.66806673838127,62.94864223495114,-82.47529811446684,54.5266558795157,6.938893903907228e-18,0.0,Punto ejecutado.
16,0.04314285714285714,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-72.28143021753269,63.473130814579065,-81.30777463022788,52.83464381564882,1.3877787807814457e-17,0.0,Punto ejecutado.
17,0.054285714285714284,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-68.09902570151341,64.06904214725387,-79.76567273824186,50.69663059098799,0.0,0.0,Punto ejecutado.
18,0.06542857142857142,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-64.1481185343605,64.6812686364508,-77.82989195997258,48.1486233235218,3.925231146709438e-17,7.105427357601002e-15,Punto ejecutado.
19,0.07657142857142857,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-60.44434385610062,65.2512778965769,-75.47889745228579,45.22761955570889,1.3877787807814457e-17,0.0,Punto ejecutado.
20,0.08771428571428572,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-56.99324917329824,65.72006961616528,-72.6884210314227,41.96835141525744,1.3877787807814457e-17,7.105427357601002e-15,Punto ejecutado.
21,0.09885714285714285,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-53.792349420990625,66.02999903653077,-69.43014341834105,38.400144381810286,7.97218214573518e-17,1.4210854715202004e-14,Punto ejecutado.
22,0.11,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-50.83326620515677,66.12518150802772,-65.66904644424154,34.543864936213815,2.7755575615628914e-17,-1.4210854715202004e-14,Punto ejecutado.
23,0.12114285714285714,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-48.10367017665265,65.95021807665108,-61.358896352991685,30.408678276340616,8.886119947416683e-17,1.4210854715202004e-14,Punto ejecutado.
24,0.13228571428571428,-0.1350333209967908,0.3,-35.0,True,codo_arriba,-45.58888707540086,65.4467908256908,-56.434725019311976,25.987934193621175,5.551115123125783e-17,0.0,Punto ejecutado.
