modo,waist_deseado,shoulder_deseado,elbow_deseado,wrist_deseado,gripper_deseado,waist_medido,shoulder_medido,elbow_medido,wrist_medido,gripper_medido,tiempo_s,pose_alcanzada,error_max_final_deg
Secuencial - HOME inicial,0.0,0.0,0.0,0.0,0.0,0.29325513196480935,-0.29325513196480935,-0.29325513196480935,-0.0,0.0,0.001965045928955078,True,0.29325513196480935
Secuencial - Paso 1: waist,25.0,0.0,0.0,0.0,0.0,24.34017595307918,-0.29325513196480935,-0.29325513196480935,-0.0,0.0,2.146890878677368,True,0.6598240469208214
Secuencial - Paso 2: shoulder,25.0,25.0,0.0,0.0,0.0,24.34017595307918,25.51319648093842,0.5865102639296187,0.5865102639296187,0.0,2.0664947032928467,True,0.6598240469208214
Secuencial - Paso 3: elbow,25.0,25.0,20.0,0.0,0.0,24.34017595307918,25.51319648093842,20.527859237536656,0.5865102639296187,0.0,1.6673271656036377,True,0.6598240469208214
Secuencial - Paso 4: wrist,25.0,25.0,20.0,-20.0,0.0,24.34017595307918,25.51319648093842,20.527859237536656,-19.35483870967742,0.0,1.8257646560668945,True,0.6598240469208214
Secuencial - Paso 5: gripper,25.0,25.0,20.0,-20.0,0.0,24.34017595307918,26.099706744868033,20.527859237536656,-19.35483870967742,0.0,0.117828369140625,True,1.0997067448680333
Simultáneo - HOME inicial,0.0,0.0,0.0,0.0,0.0,0.29325513196480935,-0.8797653958944283,-0.29325513196480935,-0.0,0.0,2.1462321281433105,True,0.8797653958944283
Simultáneo - Pose final,25.0,25.0,20.0,-20.0,0.0,24.34017595307918,26.099706744868033,20.527859237536656,-19.35483870967742,0.0,2.3488879203796387,True,1.0997067448680333
HOME final,0.0,0.0,0.0,0.0,0.0,0.29325513196480935,-0.8797653958944283,-0.29325513196480935,-0.0,0.0,2.144838571548462,True,0.8797653958944283
