t,q_waist,q_shoulder,q_elbow,q_wrist,q_gripper,v_waist,v_shoulder,v_elbow,v_wrist,v_gripper
0.0000,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
0.0003,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
0.0179,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
0.1141,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
0.2101,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
0.3219,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
0.4180,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
0.5139,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
0.6100,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
0.7220,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
0.8178,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
1.1387,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
1.1390,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
1.1391,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
1.2181,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
1.3139,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
1.4099,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
1.5220,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
1.6178,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
1.7138,0.010236535202312783,-0.005118267601156391,-0.010236535202312783,-0.010236535202312783,0.0,,,,,
