point_id,x_target_m,y_target_m,z_target_m,theta_target_deg,reachable,selected_label,q1_waist_deg,q2_shoulder_deg,q3_elbow_deg,q4_wrist_deg,position_error_m,pitch_error_deg,reason
1,0.06,-0.15,0.3,-35.0,True,codo_arriba,-68.19859051364818,65.75439171773498,-72.42211817665002,41.667726458915055,6.546139416680338e-17,1.4210854715202004e-14,Punto ejecutado.
2,0.06999999999999999,-0.15,0.3,-35.0,True,codo_arriba,-64.98310652189998,65.96253935804164,-70.39084530326151,39.428305945219876,2.7755575615628914e-17,0.0,Punto ejecutado.
3,0.07999999999999999,-0.15,0.3,-35.0,True,codo_arriba,-61.92751306414704,66.09651479503103,-68.00093917335907,36.90442437832805,6.798699777552591e-17,1.4210854715202004e-14,Punto ejecutado.
4,0.09,-0.15,0.3,-35.0,True,codo_arriba,-59.03624346792648,66.12029884447199,-65.23129132734654,34.11099248287455,5.551115123125783e-17,0.0,Punto ejecutado.
5,0.09999999999999999,-0.15,0.3,-35.0,True,codo_arriba,-56.309932474020215,65.99669157477688,-62.055274378857796,31.05858280408092,3.1031676915590914e-17,0.0,Punto ejecutado.
6,0.11,-0.15,0.3,-35.0,True,codo_arriba,-53.74616226255521,65.68671121992885,-58.438077175546574,27.75136595561771,7.473417450352271e-17,-1.4210854715202004e-14,Punto ejecutado.
7,0.12,-0.15,0.3,-35.0,True,codo_arriba,-51.34019174590991,65.14790948313673,-54.33236554002881,24.184456056892078,7.97218214573518e-17,0.0,Punto ejecutado.
8,0.13,-0.15,0.3,-35.0,True,codo_arriba,-49.08561677997488,64.33100324169835,-49.67098735000859,20.339984108310233,0.0,0.0,Punto ejecutado.
9,0.13999999999999999,-0.15,0.3,-35.0,True,codo_arriba,-46.97493401088198,63.17348885846269,-44.35390615450275,16.18041729604007,0.0,7.105427357601002e-15,Punto ejecutado.
10,0.15,-0.15,0.3,-35.0,True,codo_arriba,-45.0,61.58691933006635,-38.222470898708444,11.635551568642082,8.326672684688674e-17,-7.105427357601002e-15,Punto ejecutado.
11,0.16,-0.15,0.3,-35.0,True,codo_arriba,-43.15238973400541,59.42827656559943,-31.00134746063845,6.573070895039009,6.206335383118183e-17,-7.105427357601002e-15,Punto ejecutado.
12,0.16999999999999998,-0.15,0.3,-35.0,True,codo_arriba,-41.423665625002656,56.42068008995425,-22.136899932351795,0.7162198423975383,6.206335383118183e-17,-7.105427357601002e-15,Punto ejecutado.
13,0.18,-0.15,0.3,-35.0,True,codo_arriba,-39.80557109226519,51.82932731211904,-10.134697761347965,-6.694629550771075,5.551115123125783e-17,7.105427357601002e-15,Punto ejecutado.
14,0.18,-0.13999999999999999,0.3,-35.0,True,codo_arriba,-37.8749836510982,55.76542517621849,-20.330703247408167,-0.43472192881032484,6.206335383118183e-17,0.0,Punto ejecutado.
15,0.18,-0.13,0.3,-35.0,True,codo_arriba,-35.8376529542783,58.43498728056393,-27.952649109083506,4.517661828519577,0.0,7.105427357601002e-15,Punto ejecutado.
16,0.18,-0.12,0.3,-35.0,True,codo_arriba,-33.690067525979785,60.39899590353106,-34.130929558180995,8.731933654649927,6.206335383118183e-17,-7.105427357601002e-15,Punto ejecutado.
17,0.18,-0.11,0.3,-35.0,True,codo_arriba,-31.429565614838516,61.88784173193416,-39.31652180189906,12.428680069964887,1.1443916996305594e-16,-1.4210854715202004e-14,Punto ejecutado.
